95	0	1
121	0	1
54	0	1
113	0	1
115	0	1
21	0	1
116	0	1
112	0	1
138	0	1
13	0	1
118	0	1
130	0	1
142	0	1
106	0	1
51	0	0
75	0	0
10	0	0
42	0	0
4	0	0
31	0	0
115	1	1
4	1	1
12	1	1
31	1	1
95	1	0
51	1	0
121	1	0
54	1	0
113	1	0
21	1	0
116	1	0
112	1	0
138	1	0
13	1	0
107	1	0
42	1	0
118	1	0
142	1	0
54	2	1
75	2	1
116	2	1
107	2	1
42	2	1
12	2	1
95	2	0
51	2	0
121	2	0
113	2	0
115	2	0
112	2	0
138	2	0
13	2	0
118	2	0
130	2	0
142	2	0
31	2	0
75	3	1
42	3	1
95	3	0
121	3	0
54	3	0
113	3	0
115	3	0
116	3	0
112	3	0
138	3	0
13	3	0
107	3	0
118	3	0
130	3	0
142	3	0
31	3	0
51	4	1
75	4	1
116	4	1
112	4	1
42	4	1
31	4	1
121	4	0
54	4	0
113	4	0
115	4	0
13	4	0
107	4	0
130	4	0
142	4	0
12	4	0
95	5	1
51	5	1
54	5	1
113	5	1
116	5	1
112	5	1
138	5	1
13	5	1
107	5	1
42	5	1
118	5	1
142	5	1
121	5	0
115	5	0
130	5	0
12	5	0
31	5	0
95	6	1
54	6	1
75	6	1
116	6	1
112	6	1
42	6	1
130	6	1
12	6	1
121	6	0
113	6	0
138	6	0
13	6	0
107	6	0
118	6	0
142	6	0
31	6	0
51	7	1
121	7	1
116	7	1
138	7	1
107	7	1
118	7	1
130	7	1
142	7	1
12	7	1
95	7	0
54	7	0
113	7	0
75	7	0
112	7	0
13	7	0
42	7	0
4	7	0
31	7	0
95	8	1
51	8	1
121	8	1
75	8	1
116	8	1
112	8	1
138	8	1
42	8	1
54	8	0
113	8	0
13	8	0
107	8	0
4	8	0
118	8	0
130	8	0
142	8	0
12	8	0
31	8	0
95	9	1
51	9	1
54	9	1
113	9	1
75	9	1
116	9	1
42	9	1
118	9	1
130	9	1
142	9	1
31	9	1
121	9	0
112	9	0
138	9	0
13	9	0
107	9	0
4	9	0
12	9	0
95	10	1
54	10	1
113	10	1
107	10	1
118	10	1
130	10	1
142	10	1
12	10	1
31	10	1
51	10	0
121	10	0
75	10	0
116	10	0
112	10	0
138	10	0
13	10	0
42	10	0
4	10	0
21	11	1
75	11	1
116	11	1
138	11	1
13	11	1
10	11	1
42	11	1
4	11	1
31	11	1
95	11	0
121	11	0
